iter	Passed	Remaining
406	5665	1294
407	5676	1279
408	5687	1265
409	5699	1251
410	5711	1236
411	5721	1221
412	5731	1207
413	5743	1193
414	5757	1179
415	5769	1164
416	5781	1150
417	5792	1136
418	5803	1121
419	5813	1107
420	5824	1093
421	5833	1078
422	5845	1064
423	5857	1049
424	5870	1035
425	5886	1022
426	5900	1008
427	5912	994
428	5924	980
429	5935	966
430	5945	951
431	5957	937
432	5968	923
433	5982	909
434	5995	895
435	6007	881
436	6017	867
437	6026	853
438	6037	838
439	6047	824
440	6058	810
441	6066	796
442	6076	781
443	6099	769
444	6111	755
445	6131	742
446	6143	728
447	6153	714
448	6163	700
449	6173	685
450	6183	671
451	6193	657
452	6203	643
453	6215	629
454	6225	615
455	6237	601
456	6247	587
457	6258	573
458	6271	560
459	6293	547
460	6315	534
461	6327	520
462	6336	506
463	6346	492
464	6359	478
465	6371	464
466	6380	450
467	6390	436
468	6400	423
469	6410	409
470	6430	395
471	6453	382
472	6483	370
473	6496	356
474	6525	343
475	6538	329
476	6549	315
477	6559	301
478	6569	288
479	6583	274
480	6594	260
481	6605	246
482	6617	232
483	6627	219
484	6638	205
485	6649	191
486	6660	177
487	6669	164
488	6682	150
489	6691	136
490	6702	122
491	6713	109
492	6725	95
493	6735	81
494	6747	68
495	6759	54
496	6770	40
497	6780	27
498	6800	13
499	6809	0
