iter	Logloss
0	0.632499643
1	0.6021050532
2	0.5719289432
3	0.5344016545
4	0.5166892124
5	0.4965930549
6	0.4828776415
7	0.4708442727
8	0.4616679203
9	0.4482778083
10	0.4374277142
11	0.4291266086
12	0.4153315073
13	0.4078555141
14	0.4024928313
15	0.3956338623
16	0.3873201984
17	0.3820459706
18	0.3772500055
19	0.3746545578
20	0.3694907129
21	0.3672762857
22	0.3629523389
23	0.3608466798
24	0.358264426
25	0.3569168231
26	0.3552086059
27	0.3535888039
28	0.3516876332
29	0.350601018
30	0.3487006251
31	0.347411079
32	0.3464063877
33	0.3443705132
34	0.3433437111
35	0.3424340768
36	0.3410804352
37	0.3400931095
38	0.3394870081
39	0.3383181004
40	0.3373473479
41	0.3350141116
42	0.3344543777
43	0.3338059634
44	0.3333272236
45	0.3328311528
46	0.3323111214
47	0.3316739843
48	0.3312676969
49	0.3307314078
50	0.3302106553
51	0.3297161059
52	0.3289220415
53	0.3285192627
54	0.3282015499
55	0.3273254987
56	0.3269761082
57	0.3264382466
58	0.3258108286
59	0.3253432538
60	0.3244514913
61	0.3237784116
62	0.323475893
63	0.3232138248
64	0.3229770761
65	0.3222080903
66	0.3218649181
67	0.3212487124
68	0.3208914373
69	0.320644534
70	0.3203104235
71	0.3200091123
72	0.3195696153
73	0.319299668
74	0.3191724536
75	0.3189456877
76	0.3185712001
77	0.3183448422
78	0.3181948515
79	0.3180171659
80	0.3177971001
81	0.3175189572
82	0.317208119
83	0.3168810782
84	0.3162619545
85	0.315873484
86	0.3156831232
87	0.3154473701
88	0.3152598506
89	0.3150145187
90	0.314726526
91	0.3144483739
92	0.314248021
93	0.314034711
94	0.313859336
95	0.3136112633
96	0.3134381849
97	0.3131906917
98	0.3130107123
99	0.3128754098
100	0.3126457925
101	0.3124524004
102	0.312314945
103	0.312059766
104	0.311869213
105	0.3116755785
106	0.311542914
107	0.3113742827
108	0.3112563613
109	0.3109959397
110	0.3107891348
111	0.31062805
112	0.3103597101
113	0.3102420603
114	0.3099826999
115	0.3097884661
116	0.3096634604
117	0.3094559007
118	0.3093374362
119	0.3091833355
120	0.3089731498
121	0.3088365739
122	0.3086264249
123	0.3084110442
124	0.3082281636
125	0.308071681
126	0.3078866591
127	0.3076667438
128	0.3074892207
129	0.307345694
130	0.3071373331
131	0.3068435369
132	0.3066336877
133	0.3065362414
134	0.3064202957
135	0.3062823569
136	0.3060483665
137	0.3059263759
138	0.305716991
139	0.3055976189
140	0.305445506
141	0.3052586351
142	0.3050133487
143	0.3049177061
144	0.3048140641
145	0.3047324439
146	0.3046244531
147	0.3044509974
148	0.304276866
149	0.3041750075
150	0.3039632303
151	0.303851312
152	0.3036752991
153	0.3035520827
154	0.3033616465
155	0.3031834697
156	0.3030144118
157	0.3028421732
158	0.3026430563
159	0.3025351304
160	0.3024268785
161	0.3023492122
162	0.3021288421
163	0.3020388308
164	0.3018384301
165	0.3017235853
166	0.3016097913
167	0.3014580531
168	0.3012504249
169	0.301127815
170	0.3009876401
171	0.3008470203
172	0.3007137209
173	0.3005860216
174	0.3004348564
175	0.3002629068
176	0.300024739
177	0.299775291
178	0.2996162849
179	0.2995071284
180	0.2993716076
181	0.2992887382
182	0.2991335966
183	0.2990596247
184	0.2988155856
185	0.2986397492
186	0.2985379871
187	0.2983107649
188	0.2981534469
189	0.2979497574
190	0.2978052548
191	0.2975853871
192	0.2974797296
193	0.2973017205
194	0.2971188026
195	0.2970249267
196	0.2969491515
197	0.2967672634
198	0.2966072813
199	0.2964677017
200	0.2963023305
201	0.2962332503
202	0.2960273342
203	0.2958497034
204	0.2956949334
205	0.2955001139
206	0.2952850519
207	0.295154043
208	0.2950543398
209	0.294965047
210	0.2948214159
211	0.2946316602
212	0.2945504906
213	0.2944341062
214	0.2943451995
215	0.2942615334
216	0.2941165316
217	0.2939793839
218	0.2937896269
219	0.2935683014
220	0.293474338
221	0.2932528075
222	0.2930716438
223	0.2930054101
224	0.2927810533
225	0.2927044624
226	0.2926234383
227	0.2923974346
228	0.2923125511
229	0.2921660927
230	0.2920341704
231	0.29188954
232	0.2917796296
233	0.2916395672
234	0.2914782101
235	0.2912455973
236	0.2911601871
237	0.2909716504
238	0.2909137088
239	0.2906911798
240	0.2906150934
241	0.2903880366
242	0.2902378611
243	0.2900516266
244	0.2899110827
245	0.2897358756
246	0.2895651909
247	0.2893847463
248	0.2892790044
249	0.288958155
250	0.2888021829
251	0.2886424439
252	0.2884509607
253	0.2882833963
254	0.288125167
255	0.288013308
256	0.2878717853
257	0.2876925904
258	0.2875628687
259	0.2874085407
260	0.2872397019
261	0.2871049174
262	0.2868578517
263	0.2867227255
264	0.2864886919
265	0.2863185087
266	0.2861602861
267	0.2858977698
268	0.2857668099
269	0.2856633157
270	0.2855254768
271	0.2854267582
272	0.2852939076
273	0.2851045357
274	0.2849856464
275	0.2848369335
276	0.2846913719
277	0.2845300267
278	0.2843547788
279	0.2842228405
280	0.2840974239
281	0.283895693
282	0.2837929804
283	0.2836761997
284	0.2835122875
285	0.2833447076
286	0.2832124569
287	0.2830285559
288	0.2829274966
289	0.2827661705
290	0.2826060697
291	0.2824528176
292	0.2822380048
293	0.2820836356
294	0.2819420218
295	0.2817627422
296	0.281539822
297	0.2814222372
298	0.2812255179
299	0.2810864364
300	0.2809673234
301	0.2808170659
302	0.2806672235
303	0.2804978054
304	0.2802987755
305	0.2801989031
306	0.2800827049
307	0.2799348789
308	0.2798086314
309	0.2796244237
310	0.2794683159
311	0.2793481618
312	0.2792028116
313	0.2790746302
314	0.2789461739
315	0.2788188838
316	0.2786536306
317	0.2784316743
318	0.2782998143
319	0.2781171327
320	0.2779898032
321	0.2778460557
322	0.2776365776
323	0.2774586938
324	0.2773218643
325	0.2771583835
326	0.2770536993
327	0.2768580351
328	0.2766902136
329	0.2765495862
330	0.2764537376
331	0.2763513966
332	0.2762565221
333	0.2761244338
334	0.2760100405
335	0.2759041416
336	0.2757443797
337	0.275562116
338	0.2753921633
339	0.2752267081
340	0.2750406013
341	0.2748256907
342	0.2746683794
343	0.2745934681
344	0.2744901615
345	0.2743318217
346	0.2742198348
347	0.274027254
348	0.2738627473
349	0.2737270136
350	0.273619272
351	0.2734263458
352	0.2732974676
353	0.2732042415
354	0.2731038395
355	0.2729884844
356	0.2729171017
357	0.272829436
358	0.2727667988
359	0.2726436683
360	0.2724917187
361	0.2724231317
362	0.272264725
363	0.2719895903
364	0.2718469484
365	0.2717063557
366	0.2715888628
367	0.2714268899
368	0.2712627182
369	0.2711433249
370	0.2710016988
371	0.2708147437
372	0.2707193194
373	0.2705544808
374	0.2704645143
375	0.2703154972
376	0.2702063595
377	0.2701183289
378	0.2699927948
379	0.269846961
380	0.2696695849
381	0.2695340652
382	0.2694607941
383	0.2693498894
384	0.2692024502
385	0.2690803855
386	0.2689881411
387	0.2689065869
388	0.2687917855
389	0.2687223195
390	0.2685802685
391	0.2684225099
392	0.268245466
393	0.2681543788
394	0.2680648724
395	0.2679178511
396	0.2677255964
397	0.2675786548
398	0.2674034254
399	0.2672679187
400	0.2671161081
401	0.2669894225
402	0.2669084747
403	0.2668194279
404	0.2666999846
405	0.2665574985
406	0.2663679945
407	0.2662129825
408	0.2661178303
409	0.2660477877
410	0.2659031401
411	0.2657536369
412	0.2656346162
413	0.2654848922
414	0.2652730099
415	0.2651505152
416	0.2649882418
417	0.264847986
418	0.2647546955
419	0.2646497048
420	0.2645049081
421	0.2643670331
422	0.2642491912
423	0.2641439448
424	0.2640512459
425	0.263939088
426	0.2638119128
427	0.263731684
428	0.2636445818
429	0.2635703833
430	0.263461031
431	0.2633417329
432	0.2632364164
433	0.2631022241
434	0.263015503
435	0.2629138113
436	0.2628038232
437	0.2626886099
438	0.2626173209
439	0.2625445013
440	0.2624202709
441	0.2622398011
442	0.262163327
443	0.2620808146
444	0.2619306146
445	0.2618308563
446	0.2616462135
447	0.2615305444
448	0.2614034827
449	0.2612836299
450	0.261128787
451	0.2610087932
452	0.2609030524
453	0.2608073384
454	0.2607464433
455	0.2605927773
456	0.2604931509
457	0.2603724537
458	0.2602229266
459	0.2601011955
460	0.2600092675
461	0.2598795605
462	0.2598225546
463	0.259727682
464	0.2596121704
465	0.2594776494
466	0.2593745623
467	0.2592481274
468	0.2591115176
469	0.2589689906
470	0.2588500926
471	0.2587199844
472	0.2586406387
473	0.258467193
474	0.2583547671
475	0.2582189041
476	0.2580964103
477	0.25802116
478	0.2579392082
479	0.2578280031
480	0.257742053
481	0.2576747068
482	0.2575878575
483	0.2575139359
484	0.2573744312
485	0.2572752842
486	0.2571270931
487	0.2569952585
488	0.2568452925
489	0.2567694213
490	0.2565998474
491	0.2565024621
492	0.2563994528
493	0.2562040283
494	0.2560631184
495	0.256002625
496	0.2559113302
497	0.2557927798
498	0.2556696405
499	0.2556464066
